Bug_id,creationdate,resolutiondate
1000185,2014-04-23 14:23:10 +0000,2014-05-20 18:21:00 +0000
1000185,2014-04-23 14:23:10 +0000,2014-05-20 18:21:00 +0000
1000514,2014-04-23 21:20:38 +0000,2014-06-25 00:43:41 +0000
1000598,2014-04-23 23:40:29 +0000,2014-05-07 12:38:05 +0000
1000960,2014-04-24 16:34:04 +0000,2014-05-06 04:03:36 +0000
1001994,2014-04-27 11:10:17 +0000,2014-07-07 23:13:52 +0000
1002702,2014-04-28 21:16:22 +0000,2014-06-28 00:47:03 +0000
1005578,2014-05-04 02:21:51 +0000,2014-05-07 12:40:21 +0000
1005991,2014-05-05 16:53:39 +0000,2015-03-17 10:37:04 +0000
1007223,2014-05-07 17:46:15 +0000,2014-05-23 00:40:38 +0000
1009675,2014-05-13 17:47:16 +0000,2014-06-12 01:54:45 +0000
1009675,2014-05-13 17:47:16 +0000,2014-06-12 01:54:45 +0000
1009675,2014-05-13 17:47:16 +0000,2014-06-12 01:54:45 +0000
1009952,2014-05-14 00:09:44 +0000,2014-05-28 12:39:34 +0000
1011007,2014-05-15 15:03:12 +0000,2014-05-28 12:39:57 +0000
1012609,2014-05-19 09:57:34 +0000,2014-10-02 16:44:46 +0000
1012694,2014-05-19 14:56:12 +0000,2014-06-25 01:19:45 +0000
1013001,2014-05-20 00:15:34 +0000,2014-10-22 20:17:45 +0000
1013056,2014-05-20 05:29:20 +0000,2014-07-09 14:05:55 +0000
1015540,2014-05-24 02:38:07 +0000,2014-07-09 19:50:04 +0000
1015973,2014-05-26 14:41:48 +0000,2014-06-20 01:14:59 +0000
1016519,2014-05-27 19:02:27 +0000,2014-05-30 12:41:39 +0000
1017616,2014-05-29 14:30:03 +0000,2016-10-12 10:10:42 +0000
1018234,2014-05-30 14:41:32 +0000,2014-06-26 01:26:13 +0000
1018524,2014-05-31 01:35:37 +0000,2014-08-06 12:56:25 +0000
1019684,2014-06-03 15:40:37 +0000,2014-06-13 00:29:26 +0000
1020008,2014-06-04 00:14:25 +0000,2014-06-06 01:43:08 +0000
1020034,2014-06-04 01:16:01 +0000,2014-06-15 16:33:09 +0000
1020041,2014-06-04 01:31:07 +0000,2014-06-11 01:33:55 +0000
1020205,2014-06-04 09:46:50 +0000,2014-07-03 11:59:26 +0000
1020411,2014-06-04 16:25:01 +0000,2014-07-07 07:58:55 +0000
1021240,2014-06-05 20:10:44 +0000,2014-07-02 13:01:32 +0000
1021312,2014-06-05 22:30:02 +0000,2014-06-06 16:02:01 +0000
1021312,2014-06-05 22:30:02 +0000,2014-06-06 16:02:01 +0000
1021312,2014-06-05 22:30:02 +0000,2014-06-06 16:02:01 +0000
1021969,2014-06-06 21:28:16 +0000,2014-06-17 15:00:47 +0000
1021969,2014-06-06 21:28:16 +0000,2014-06-17 15:00:47 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022773,2014-06-09 17:15:46 +0000,2014-07-01 23:51:59 +0000
1022945,2014-06-09 22:10:01 +0000,2014-07-30 00:14:14 +0000
1022945,2014-06-09 22:10:01 +0000,2014-07-30 00:14:14 +0000
1022945,2014-06-09 22:10:01 +0000,2014-07-30 00:14:14 +0000
1022945,2014-06-09 22:10:01 +0000,2014-07-30 00:14:14 +0000
1022945,2014-06-09 22:10:01 +0000,2014-07-30 00:14:14 +0000
1023035,2014-06-10 03:14:36 +0000,2014-06-12 01:54:03 +0000
1023121,2014-06-10 08:14:04 +0000,2014-06-25 13:48:22 +0000
1024765,2014-06-12 23:07:32 +0000,2014-06-24 00:39:55 +0000
1024765,2014-06-12 23:07:32 +0000,2014-06-24 00:39:55 +0000
1025267,2014-06-13 21:01:27 +0000,2016-04-01 09:59:30 +0000
1026022,2014-06-16 17:24:00 +0000,2014-07-03 21:15:23 +0000
1026774,2014-06-17 22:21:03 +0000,2014-09-10 13:03:44 +0000
1027300,2014-06-18 20:53:13 +0000,2014-09-11 00:41:46 +0000
1027359,2014-06-18 22:23:47 +0000,2014-07-01 12:04:09 +0000
1028358,2014-06-20 19:23:15 +0000,2014-06-24 16:00:56 +0000
1028358,2014-06-20 19:23:15 +0000,2014-06-24 16:00:56 +0000
1028358,2014-06-20 19:23:15 +0000,2014-06-24 16:00:56 +0000
1028358,2014-06-20 19:23:15 +0000,2014-06-24 16:00:56 +0000
1028891,2014-06-23 12:14:30 +0000,2014-07-03 21:15:41 +0000
1030667,2014-06-26 09:49:09 +0000,2014-11-12 15:13:21 +0000
1032208,2014-06-30 14:35:12 +0000,2014-07-07 12:31:33 +0000
1032208,2014-06-30 14:35:12 +0000,2014-07-07 12:31:33 +0000
1033020,2014-07-01 21:03:00 +0000,2014-07-19 00:58:32 +0000
1033121,2014-07-02 01:56:11 +0000,2014-07-10 22:33:32 +0000
1034230,2014-07-03 18:59:55 +0000,2014-07-10 22:33:03 +0000
1034383,2014-07-04 00:35:39 +0000,2014-07-14 23:15:05 +0000
1035007,2014-07-06 23:02:46 +0000,2014-08-07 03:48:24 +0000
1035438,2014-07-07 21:41:29 +0000,2014-07-08 22:45:20 +0000
1036515,2014-07-09 17:25:32 +0000,2015-02-11 21:35:45 +0000
1037641,2014-07-11 20:55:40 +0000,2014-08-07 03:49:12 +0000
1037666,2014-07-11 21:40:47 +0000,2014-08-05 14:46:03 +0000
1037666,2014-07-11 21:40:47 +0000,2014-08-05 14:46:03 +0000
1037830,2014-07-12 14:59:25 +0000,2014-08-04 20:39:16 +0000
1041148,2014-07-19 12:08:36 +0000,2014-08-07 03:49:58 +0000
1041512,2014-07-21 13:13:28 +0000,2014-09-17 18:54:26 +0000
1042699,2014-07-23 14:26:35 +0000,2015-08-25 01:06:32 +0000
1045977,2014-07-30 03:43:10 +0000,2014-08-20 13:59:28 +0000
1046421,2014-07-30 22:42:05 +0000,2015-07-29 18:04:24 +0000
1047831,2014-08-02 10:43:47 +0000,2014-08-07 21:33:34 +0000
1048517,2014-08-04 20:47:33 +0000,2014-08-07 13:22:36 +0000
1049095,2014-08-05 19:47:29 +0000,2014-08-22 01:31:56 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050340,2014-08-07 16:23:04 +0000,2014-08-19 13:23:35 +0000
1050690,2014-08-08 08:27:44 +0000,2014-08-09 01:49:37 +0000
1054359,2014-08-15 16:35:27 +0000,2014-08-18 20:10:12 +0000
1054538,2014-08-15 22:07:47 +0000,2014-09-02 18:45:55 +0000
1059081,2014-08-27 05:29:13 +0000,2015-05-14 22:40:02 +0000
1061214,2014-09-01 14:07:34 +0000,2014-09-02 18:45:36 +0000
1061600,2014-09-02 11:45:32 +0000,2014-09-17 00:13:06 +0000
1062876,2014-09-04 13:47:56 +0000,2014-09-22 11:01:50 +0000
1062981,2014-09-04 17:18:06 +0000,2014-09-08 13:27:15 +0000
1063733,2014-09-05 20:10:28 +0000,2014-09-12 13:19:13 +0000
1064346,2014-09-08 15:42:48 +0000,2014-09-26 21:02:16 +0000
1065909,2014-09-11 08:47:11 +0000,2015-01-12 13:00:44 +0000
1066190,2014-09-11 17:39:03 +0000,2014-09-17 00:13:47 +0000
1068218,2014-09-16 19:47:11 +0000,2014-09-19 18:03:36 +0000
1069762,2014-09-19 05:23:15 +0000,2014-11-07 18:31:29 +0000
1070962,2014-09-22 13:10:08 +0000,2014-10-14 02:00:38 +0000
1070962,2014-09-22 13:10:08 +0000,2014-10-14 02:00:38 +0000
1070962,2014-09-22 13:10:08 +0000,2014-10-14 02:00:38 +0000
1070962,2014-09-22 13:10:08 +0000,2014-10-14 02:00:38 +0000
1070962,2014-09-22 13:10:08 +0000,2014-10-14 02:00:38 +0000
1070962,2014-09-22 13:10:08 +0000,2014-10-14 02:00:38 +0000
